Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/driving-companies-towards-deforestation-free-supply-chains/"" target='_blank'>Catalysing Action by Corporates and Financial Institutions on Deforestation Risk</a>",,3142200,0,CDP Worldwide,"Colombia, Brazil, China, Peru",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/strengthening-indigenous-peoples-to-protect-rights-and-livelihoods/"" target='_blank'>Strengthening indigenous peoples to protect rights and livelihoods</a>",,3142200,0,The Asia Indigenous Peoples Pact (AIPP),"Myanmar, Vietnam",NICFI,2016-2020,,1,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/focus-on-the-frontline/"" target='_blank'>Focus on the Frontline</a>",,3341206,0,Forest Peoples Programme,"Colombia, Indonesia, West Papua, Guyana, Peru",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/fighting-illegal-deforestation-and-improving-indigenous-control/"" target='_blank'>Fighting illegal deforestation and improving indigenous control</a>",,3456420,0,Forest Trends,"Ecuador, Myanmar, Colombia, Brazil, Guyana, Peru, Vietnam",NICFI,2016-2020,,1,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/forest-code-observatory-carrying-out-dormant-forest-legislation/"" target='_blank'>Forest Code Observatory: Carrying out dormant forest legislation</a>",,3665900,0,IPAM,Brazil,NICFI,2016-2020,,0,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/risk-analysis-can-push-financiers-to-end-commodity-deforestation/"" target='_blank'>Integrating REDD+ objectives in investment decisions</a>",,3980120,0,Aidenvironment,"Ecuador, Colombia, Brazil, DR Congo, Liberia, Peru",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/transforming-chinas-commodity-markets-to-reduce-deforestation-and-conversion/"" target='_blank'>Transforming China’s Commodity Markets to Reduce Deforestation and Conversion</a>",,4105808,0,WWF Norway,"Indonesia, West Papua, Brazil, China",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/reducing-deforestation-by-engaging-governors/"" target='_blank'>Reducing deforestation by engaging governors</a>",,4189600,0,Governors' Climate and Forests Task Force (GCF),"Indonesia, West Papua, Brazil, Peru",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/producing-tv-drama-for-increased-public-understanding-of-forest-issues/"" target='_blank'>Producing TV drama for increased public understanding of forest issues</a>",,4189600,0,BBC Media Action,"Indonesia, West Papua",NICFI,2016-2020,,0,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/redd-in-practice-strengthening-global-governance.-improving-local-performance/"" target='_blank'>REDD+ in Practice: Strengthening Global Governance. Improving Local Performance</a>",,4189600,0,The Nature Conservancy (TNC),"Indonesia, West Papua",NICFI,2016-2020,,1,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/shifting-to-deforestation-free-biofuels/"" target='_blank'>Shifting to deforestation-free biofuels</a>",,4189600,0,Transport and Environment,Global unspecified,NICFI,2016-2020,,0,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/empowering-indigenous-peoples-and-advocating-land-rights/"" target='_blank'>Promoting Indigenous Peoples rights in REDD+ in Myanmar and Peru</a>",,4713300,0,International Work Group for Indigenous Affairs (IWGIA),"Myanmar, Peru",NICFI,2016-2020,,1,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/incentivising-forest-conservation-to-tackle-climate-change/"" target='_blank'>Incentivising forest conservation to tackle climate change</a>",,5237000,0,Fauna & Flora International,"Myanmar, Liberia",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/reducing-deforestation-by-working-with-policymakers/"" target='_blank'>Reducing deforestation by working with policymakers</a>",,5237000,0,Conservation International (CI),"Guyana, Peru",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/deforestation_free_supply_chains_through_public_private_partnerships_and_mobilising_asian_and_us_markets/"" target='_blank'>Scale-up and acceleration of deforestation-free supply chain through public-private partnerships and Mobilising Asian and US markets to reduce commodity-driven deforestation in Brazil and beyond.</a>",,6598620,0,Solidaridad,"Colombia, Brazil, Peru",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/holding-governments-and-companies-accountable/"" target='_blank'>Holding governments and companies accountable</a>",,6948870.56,0,Global Witness,"DR Congo, Liberia",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/protecting-forests-by-catalyzing-corporate-and-financial-reforms/"" target='_blank'>Protecting forests by catalyzing corporate and financial reforms</a>",,7855500,0,Climate Advisers Trust,"Colombia, Indonesia, West Papua, Peru",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/providing-environmental-news-of-high-quality/"" target='_blank'>Providing environmental news of high-quality</a>",,7855500,0,Mongabay,"Ecuador, Ethiopia, Tanzania, Myanmar, Colombia, Indonesia, West Papua, Republic of the Congo, Brazil, Guyana, DR Congo, Liberia, Peru, Vietnam",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/providing-incentives-for-zero-deforestation/"" target='_blank'>Providing incentives for zero-deforestation</a>",,8902900,0,Environmental Defense Fund (EDF),Brazil,NICFI,2016-2020,,0,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/global-comparative-study-for-achieving-redd-results/"" target='_blank'>Global comparative study for achieving REDD+ results</a>",,10474000,0,Center for International Forestry Research (CIFOR),"Ethiopia, Myanmar, Indonesia, West Papua, Brazil, Guyana, DR Congo, Peru, Vietnam",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/providing-intelligence-to-combat-illegal-logging-and-timber-trade/"" target='_blank'>Providing intelligence to combat illegal logging and timber trade</a>",,10892960,0,Environmental Investigation Agency (EIA),"Thailand, Myanmar, Colombia, Indonesia, West Papua, DR Congo, Madagascar, Guatemala, Island Malaysia, Peninsular Malaysia, Peru, Vietnam, Cameroon, Gabon",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/international-land-and-forest-tenure-facility/"" target='_blank'>International Land and Forest Tenure Facility</a>",,14663600,0,Tenure Facility,"Colombia, Indonesia, West Papua, Guyana, DR Congo, Liberia, Peru",NICFI,2016-2020,,1,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/Shared-goals-incentive-systems-and-good-monitoring/"" target='_blank'>Shared goals, incentive systems, and good monitoring</a>",,15082560,0,Earth Innovation Institute,"Colombia, Indonesia, West Papua, Brazil, Peru",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/indigenous-peoples-as-guardians-of-the-rainforest/"" target='_blank'>Indigenous peoples as guardians of the rainforest</a>",,26761070,0,Rainforest Foundation Norway (RFN),"Indonesia, West Papua, Brazil, DR Congo",NICFI,2016-2020,,1,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/supporting-law-enforcement-to-combat-forestry-crime/"" target='_blank'>Supporting law enforcement to combat forestry crime</a>",,34040500,0,INTERPOL,"Thailand, Laos, Ecuador, Myanmar, Colombia, Cambodia, Brazil, Peru, Vietnam",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/protecting-forests-through-protecting-rights-in-guyana/"" target='_blank'>Protecting forests through protecting rights</a>",,38020620,0,Rainforest Foundation US,Guyana,NICFI,2016-2020,,1,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/reducing-deforestation-with-transparency-of-law-enforcement/"" target='_blank'>Reducing deforestation with transparency of law enforcement</a>",,87457900,0,Imazon,Brazil,NICFI,2016-2020,,0,National
"<a href=""https://www.thegef.orghttps://www.thegef.org/project/blended-finance-facility-climate-resilience-coffee-and-cacao-value-chains-cc-blend"" target='_blank'>Blended finance facility for climate resilience in coffee and cacao value chains: CC-Blend</a>",Climate Change,1091552,7000000,United Nations Environment Programme,El Salvador,Special Climate Change Fund,2018 - 2022,Concept Approved,0,National
