Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF436.01"" target='_blank'>Consolidating Private Conservation Strategies in Perú</a>",Environmental Conservation,1117098,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3568"" target='_blank'>Reducing Deforestation in the Chiribiquete National Park-Caquetá Mosaic, Colombia</a>",Environmental Conservation,1148000,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3894.01"" target='_blank'>Long-term Conservation of Protected Area Systems in Peru</a>",Environmental Conservation,1165000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF464.02"" target='_blank'>Governance for reduced deforestation.</a>",Environmental Conservation,1193098,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1525"" target='_blank'>A Regional Co-Management System for Conserving Biodiversity and Sustainably Managing the Lower Amazon Floodplain Regional Ecosystem</a>",Environmental Conservation,1195319,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4301"" target='_blank'>Strengthening environmental governance in the Madre de Dios Region, Peru</a>",Environmental Conservation,1200000,0,,Peru,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3118"" target='_blank'>Improving conservation economics tools to address Amazonian infrastructure projects</a>",Environmental Conservation,1230734,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8672"" target='_blank'>
Application of the IUCN Green List Standard in Amazon Protected Areas</a>",Environmental Conservation,1250000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF503.01"" target='_blank'>Greater Xingú Complex Conservation (Phase II)</a>",Environmental Conservation,1280000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2048.01"" target='_blank'>Planning and Governance for the Consolidation of Protected Areas and Indigenous Lands in the Colombian Amazon</a>",Environmental Conservation,1296799,0,,Colombia,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF6895"" target='_blank'>AgroServ: Valuing Local Benefits Provided by Native Vegetation to the Agricultural Sector in Brazil</a>",Environmental Conservation,1300000,0,,Brazil,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF525"" target='_blank'>Biodiversity Conservation in Indigenous Territories in the Pastaza Region of the Western Amazon, Ecuador</a>",Environmental Conservation,1302000,0,,Ecuador,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8689"" target='_blank'>
Infrastructure, Environment and Communities in the Peruvian Amazon</a>",Environmental Conservation,1309500,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF634.01"" target='_blank'>Building Informed Civic Engagement for Conservation in the Andes-Amazon: Phase II</a>",Environmental Conservation,1319667,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2048.03"" target='_blank'>Consolidating Indigenous Territories and National Parks in the Colombian Amazon</a>",Environmental Conservation,1320000,0,,Colombia,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF434"" target='_blank'>Indigenous People, Resource Management and Conservation</a>",Environmental Conservation,1358258,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3859.02"" target='_blank'>Mapping and Monitoring of Social and Environmental Change in the Pan-Amazon Region</a>",Environmental Conservation,1365000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8664"" target='_blank'>
Piloting Innovative Road Infrastructure Guidelines</a>",Environmental Conservation,1400000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF331.03"" target='_blank'>Amazon Conservation Landscapes</a>",Environmental Conservation,1414150,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
